kernel,kind,method,trial,spurious_ref_count,spurious_residual_count,spectral_gap,rank
hermite(bad),omega=2.0,Principal Components (kDMD),3,,3,0.0012315630186965354,5
hermite(ugly),omega=2.0,Principal Components (kDMD),3,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),4,,4,0.0009778803186728524,5
hermite(bad),omega=2.0,Principal Components (kDMD),4,,4,0.0009714066869160876,5
hermite(ugly),omega=2.0,Principal Components (kDMD),4,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),5,,4,0.0011166402103831574,5
hermite(bad),omega=2.0,Principal Components (kDMD),5,,4,0.0011067980057374305,5
hermite(ugly),omega=2.0,Principal Components (kDMD),5,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),6,,4,0.0006572860477827014,5
hermite(bad),omega=2.0,Principal Components (kDMD),6,,2,0.0007109629905759363,5
hermite(ugly),omega=2.0,Principal Components (kDMD),6,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),7,,4,0.0011795317186568122,5
hermite(bad),omega=2.0,Principal Components (kDMD),7,,4,0.0011700213284592254,5
hermite(ugly),omega=2.0,Principal Components (kDMD),7,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),8,,4,0.0011700223484233385,5
hermite(bad),omega=2.0,Principal Components (kDMD),8,,4,0.0011596244587538385,5
hermite(ugly),omega=2.0,Principal Components (kDMD),8,,1,,1
hermite(good),omega=2.0,Principal Components (kDMD),9,,4,0.0012217798072561292,5
hermite(bad),omega=2.0,Principal Components (kDMD),9,,4,0.0012116696420926276,5
hermite(ugly),omega=2.0,Principal Components (kDMD),9,,1,,1
hermite(good),omega=2.0,Reduced Rank,0,,3,1.3778335083276465,5
hermite(bad),omega=2.0,Reduced Rank,0,,5,0.055737943983278915,5
hermite(ugly),omega=2.0,Reduced Rank,0,,3,5.129212397779805,5
hermite(good),omega=2.0,Reduced Rank,1,,4,2.792010863552275,5
hermite(bad),omega=2.0,Reduced Rank,1,,3,0.002155159971650611,3
hermite(ugly),omega=2.0,Reduced Rank,1,,0,4.590283064184938,5
